Desciption               From_Node       To_Node         Dijkstra's      Path
Min Chen's office
                            1               1                **
                            8               7                75          8 7
                            8               8                **
                            8               9                245         8 7 6 9
                            8               10               235         8 7 6 10
                            8               11               265         8 7 6 10 11
                            8               12               295         8 7 6 10 11 12
                            8               13               363         8 7 6 10 16 15 13
                            8               14               363         8 7 6 10 16 15 14
                            8               15               349         8 7 6 10 16 15
                            8               16               335         8 7 6 10 16
                            8               17               355         8 7 6 10 16 17
                            8               18               349         8 7 6 10 16 18
                            8               19               363         8 7 6 10 16 18 19
                            8               20               363         8 7 6 10 16 18 20
                            8               21               377         8 7 6 10 16 18 19 21
                            8               22               391         8 7 6 10 16 18 19 21 22
                            8               23               391         8 7 6 10 16 18 19 21 23

Floor 0, South stairs
                            9               1                105         9 10 11 12 1
                            9               2                206         9 10 16 18 19 21 23 2
                            9               3                5   9 3
                            9               4                193         9 10 16 15 14 4
                            9               5                125         9 3 13 5
                            9               6                90          9 6
                            9               7                170         9 6 7
                            9               8                245         9 6 7 8
                            9               9                **
                            9               10               30          9 10
                            9               11               60          9 10 11
                            9               12               90          9 10 11 12
                            9               13               100         9 3 13
                            9               14               158         9 10 16 15 14
                            9               15               144         9 10 16 15
                            9               16               130         9 10 16
                            9               17               150         9 10 16 17
                            9               18               144         9 10 16 18
                            9               19               158         9 10 16 18 19
                            9               20               158         9 10 16 18 20
                            9               21               172         9 10 16 18 19 21
                            9               22               186         9 10 16 18 19 21 22
                            9               23               186         9 10 16 18 19 21 23

Floor 1, South stairs
                            10              1                75          10 11 12 1
                            10              2                178         10 11 19 21 23 2
                            10              3                35          10 9 3
                            10              4                163         10 16 15 14 4
                            10              5                153         10 16 15 14 5
                            10              6                80          10 6
                            10              7                160         10 6 7
                            10              8                235         10 6 7 8
                            10              9                30          10 9
                            10              10               **
                            10              11               30          10 11
                            10              12               60          10 11 12
                            10              13               128         10 16 15 13
                            10              14               128         10 16 15 14
                            10              15               114         10 16 15
                            10              16               100         10 16
                            10              17               120         10 16 17
                            10              18               114         10 16 18
                            10              19               130         10 11 19
                            10              20               150         10 11 19 20
                            10              21               144         10 11 19 21
                            10              22               158         10 11 19 21 22
                            10              23               158         10 11 19 21 23

Floor 2, South stairs
                            11              1                45          11 12 1
                            11              2                148         11 19 21 23 2
                            11              3                65          11 10 9 3
                            11              4                191         11 19 18 17 15 14 4
                            11              5                181         11 19 18 17 15 14 5
                            11              6                110         11 10 6
                            11              7                190         11 10 6 7
                            11              8                265         11 10 6 7 8
                            11              9                60          11 10 9
                            11              10               30          11 10
                            11              11               **
                            11              12               30          11 12
                            11              13               156         11 19 18 17 15 13
                            11              14               156         11 19 18 17 15 14
                            11              15               142         11 19 18 17 15
                            11              16               128         11 19 18 16
                            11              17               128         11 19 18 17
                            11              18               114         11 19 18
                            11              19               100         11 19
                            11              20               120         11 19 20
                            11              21               114         11 19 21
                            11              22               128         11 19 21 22
                            11              23               128         11 19 21 23

Floor 3, South stairs
                            12              1                15          12 1
                            12              2                140         12 1 22 23 2
                            12              3                95          12 11 10 9 3
                            12              4                219         12 1 22 21 19 18 17 15 14 4
                            12              5                209         12 1 22 21 19 18 17 15 14 5
                            12              6                140         12 11 10 6
                            12              7                220         12 11 10 6 7
                            12              8                295         12 11 10 6 7 8
                            12              9                90          12 11 10 9
                            12              10               60          12 11 10
                            12              11               30          12 11
                            12              12               **
                            12              13               184         12 1 22 21 19 18 17 15 13
                            12              14               184         12 1 22 21 19 18 17 15 14
                            12              15               170         12 1 22 21 19 18 17 15
                            12              16               156         12 1 22 21 19 18 16
                            12              17               156         12 1 22 21 19 18 17
                            12              18               142         12 1 22 21 19 18
                            12              19               128         12 1 22 21 19
                            12              20               148         12 1 22 21 19 20
                            12              21               114         12 1 22 21
                            12              22               100         12 1 22
                            12              23               120         12 1 22 23

Knuckle stairs, Floor 0, south end
                            13              1                169         13 15 17 18 19 21 22 1
                            13              2                104         13 15 17 18 19 21 23 2
                            13              3                95          13 3
                            13              4                55          13 14 4
                            13              5                25          13 5
                            13              6                208         13 15 16 10 6
                            13              7                288         13 15 16 10 6 7
                            13              8                363         13 15 16 10 6 7 8
                            13              9                158         13 15 16 10 9
                            13              10               128         13 15 16 10
                            13              11               156         13 15 17 18 19 11
                            13              12               186         13 15 17 18 19 11 12
                            13              13               **
                            13              14               20          13 14
                            13              15               14          13 15
                            13              16               28          13 15 16
                            13              17               28          13 15 17
                            13              18               42          13 15 17 18
                            13              19               56          13 15 17 18 19
                            13              20               56          13 15 17 18 20
                            13              21               70          13 15 17 18 19 21
                            13              22               84          13 15 17 18 19 21 22
                            13              23               84          13 15 17 18 19 21 23

Knuckle stairs, Floor 0, north end
                            14              1                169         14 15 17 18 19 21 22 1
                            14              2                104         14 15 17 18 19 21 23 2
                            14              3                115         14 13 3
                            14              4                35          14 4
                            14              5                25          14 5
                            14              6                208         14 15 16 10 6
                            14              7                288         14 15 16 10 6 7
                            14              8                363         14 15 16 10 6 7 8
                            14              9                158         14 15 16 10 9
                            14              10               128         14 15 16 10
                            14              11               156         14 15 17 18 19 11
                            14              12               186         14 15 17 18 19 11 12
                            14              13               20          14 13
                            14              14               **
                            14              15               14          14 15
